,mean_bar_return,hit_rate
Q01,-0.00017572983654378982,0.5257352941176471
Q02,6.636766603996339e-05,0.5267857142857143
Q03,8.619167585869445e-05,0.5267857142857143
Q04,-0.00020508070776711242,0.523109243697479
Q05,-0.00023515704712960008,0.5362394957983193
Q06,-0.0004004361747739098,0.5215336134453782
Q07,-0.00016544657115048474,0.5267857142857143
Q08,-9.689814177285561e-05,0.5241596638655462
Q09,-0.00014985679706187405,0.5315126050420168
Q10,-0.00036936502405819123,0.5320378151260504
