offset,cumulative_return,annualized_return,annualized_volatility,sharpe,max_drawdown,calmar,hit_rate,total_pnl_usdt
0,0.10551492744016944,0.0194159143123529,0.023636994797737648,0.8253467624940989,-0.021345770843784417,0.909590684470715,0.5141806722689075,28.489030408845146
1,0.14650384376350734,0.02655538622280318,0.02580416521643416,1.0285221444939143,-0.04042926146641612,0.656835798122661,0.49842436974789917,39.55603781614674
2,0.15573598728477256,0.028134911269256824,0.021905734348602608,1.277610257471982,-0.01719931215579984,1.635816073014836,0.5152310924369747,42.04871656688988
3,0.1502898969415929,0.027204380182462407,0.019703917960567256,1.372105737966816,-0.02420107980533548,1.1240977841189055,0.5236344537815126,40.57827217422961
4,0.14807375195892014,0.026824705128069892,0.022828646151381356,1.1710086597037592,-0.02358711609237163,1.1372609107030824,0.5267857142857143,39.97991302890949
5,0.1284230640956041,0.0234319286640412,0.02049554995124265,1.1403547491213748,-0.02307928608372345,1.0152796138944025,0.5194327731092437,34.67422730581302
6,0.17384726520680882,0.031204166956819046,0.021293914157793636,1.4536957496009146,-0.025208039641529956,1.2378656730375233,0.5236344537815126,46.93876160583811
7,0.1330069629269648,0.024227604392793367,0.021348043653196716,1.1320527556622526,-0.02601392189958962,0.9313322491821414,0.5057773109243697,35.9118799902802
8,0.13171611311776665,0.02400380155125381,0.021631933603008316,1.1073748443666052,-0.024413571846669146,0.9832154713784234,0.49054621848739494,35.56335054179685
9,0.13501925653550106,0.02457607780911175,0.02152216223343551,1.1388840521639005,-0.04515855714088013,0.5442175163489462,0.5178571428571429,36.45519926458457
10,0.042536652530246855,0.008017655404274127,0.0217783636639644,0.3775609506474154,-0.048214846762748786,0.166290177042907,0.49789915966386555,11.484896183167521
11,0.05999971384142144,0.011232815444635946,0.01989176291848093,0.5714969414402836,-0.02811206762747498,0.39957272419399326,0.5183823529411765,16.199922737182515
12,0.20156381287588698,0.035827897069751424,0.026932620047371347,1.3204233947266961,-0.0216910082744437,1.651739587963911,0.5267857142857143,54.422229476490685
13,0.1610899935707597,0.029046260156966763,0.02177898027452323,1.3256144202815594,-0.014654104698292203,1.9821245142565298,0.5257352941176471,43.49429826410415
14,0.20536132716768596,0.036454672661398124,0.028294637188272395,1.2795230560054138,-0.01912843392076402,1.9057844888089022,0.5126050420168067,55.44755833527594
15,0.2054325331821807,0.03646640988263239,0.028628207537606264,1.2653468654274007,-0.029215452301860623,1.248189126283353,0.5309873949579832,55.466783959189485
16,0.1325789799834014,0.02415342511675367,0.020674990573312232,1.16472834476792,-0.026134717414215802,0.9241892588291609,0.5225840336134454,35.79632459551867
17,0.17138337309162388,0.030788878940514186,0.02682740408158596,1.1436975398179146,-0.022023793448713302,1.397982550654232,0.5215336134453782,46.2735107347371
18,0.16616154266860494,0.029906402352363415,0.021254432191994434,1.3971078821957046,-0.0331415746104865,0.9023832664516963,0.5136554621848739,44.86361652052318
19,0.08862469801959083,0.016411592508689843,0.02043295429997599,0.806899971075912,-0.03848351541025019,0.4264577269964939,0.5141806722689075,23.92866846528937
20,0.07864897688898953,0.014619435820896642,0.019329828211007913,0.7605110397776873,-0.029400479474316787,0.4972516122965838,0.5126050420168067,21.23522376002682
