date,selected_symbols
2022-07-11,"00215,00272,00598,00709,02233,02858,03877"
2022-07-12,"00215,00272,00598,00709,02233,02858,03877"
2022-07-13,"00272,00598,00709,02233,02858,03877"
2022-07-14,"00272,00598,00709,02233,02858,03877"
2022-07-15,"00272,00598,00709,02233,02858,03877"
2022-07-18,"00272,00598,00709,02233,02858,03877"
2022-07-19,"00272,00598,00709,02233,02858,03877"
2022-07-20,"00272,00598,00709,02233,02858,03877"
2022-07-21,"00272,00598,00709,02233,02858,03877"
2022-07-22,"00272,00598,00709,02233,02858,03877"
2022-07-25,"00272,00598,00709,02233,02858,03877"
2022-07-26,"00272,00598,00709,02233,02858,03877"
2022-07-27,"00272,00297,00598,00697,00709,01773,02233,02858,03877"
2022-07-28,"00272,00297,00598,00697,00709,01773,02233,02858"
2022-07-29,"00272,00297,00598,00697,00709,01773,02858"
2022-08-01,"00272,00297,00598,00697,00709,01773,02858"
2022-08-02,"00272,00297,00598,00697,01773"
2022-08-03,"00272,00297,00598,00697,01773"
2022-08-04,"00272,00297,00598,00697,01773"
2022-08-05,"00272,00297,00598,00697,01773"
2022-08-08,"00272,00297,00598,00697,01773"
2022-08-09,"00272,00297,00598,00697,01773"
2022-08-10,"00272,00297,00598,00697,01773"
2022-08-11,"00272,00297,00598,00697,01773"
2022-08-12,"00272,00297,00598,00697,01773"
2022-08-15,"00272,00297,00598,00697,01773"
2022-08-16,"00272,00297,00598,00697,01773"
2022-08-17,"00272,00297,00598,00697,00709,01288,01773,03618"
2022-08-18,"00272,00297,00598,00697,00709,01288,03618"
2022-08-19,"00272,00297,00598,00697,00709,01288,03618"
2022-08-22,"00272,00598,00697,00709,01288,03618"
2022-08-23,"00272,00598,00697,00709,01288,03618"
2022-08-24,"00272,00598,00697,00709,01288,03618"
2022-08-25,"00272,00598,00697,00709,01288,03618"
2022-08-26,"00598,00697,00709,01288,03618"
2022-08-29,"00598,00697,00709,01288,03618"
2022-08-30,"00598,00697,00709,01288,03618"
2022-08-31,"00598,00697,00709,01288,03618"
2022-09-01,"00598,00697,00709,01288,03618"
2022-09-02,"00598,00697,00709,01288,03618"
2022-09-05,"00598,00697,00709,01288,03618"
2022-09-06,"00598,00697,00709,01288,03618"
2022-09-07,"00467,00598,00697,00709,01981,02233,03618"
2022-09-08,"00467,00598,00697,00709,01981,02233"
2022-09-09,"00467,00598,00697,00709,01981,02233"
2022-09-13,"00467,00598,00697,00709,01981,02233"
2022-09-14,"00467,00598,00709,01981,02233"
2022-09-15,"00467,00598,00709,01981,02233"
2022-09-16,"00467,00598,00709,01981,02233"
2022-09-19,"00467,00598,00709,01981,02233"
2022-09-20,"00467,00598,00709,01981,02233"
2022-09-21,"00467,00598,00709,01981,02233"
2022-09-22,"00467,00598,00709,01981,02233"
2022-09-23,"00467,00598,00709,01981,02233"
2022-09-26,"00467,00598,00709,01981,02233"
2022-09-27,"00467,00598,00709,01981,02233"
2022-09-28,"00467,00598,00709,01981,02233"
2022-09-29,"00467,00517,00598,00697,00709,01981,02009,02233"
2022-09-30,"00467,00517,00598,00697,00709,01981,02009,02233"
2022-10-03,"00467,00517,00598,00697,00709,01981,02009,02233"
2022-10-05,"00467,00517,00598,00697,00709,01981,02009,02233"
2022-10-06,"00467,00517,00598,00697,00709,01981,02009"
2022-10-07,"00467,00517,00598,00697,00709,01981,02009"
2022-10-10,"00467,00517,00598,00697,00709,01981,02009"
2022-10-11,"00467,00517,00598,00697,01981,02009"
2022-10-12,"00467,00517,00598,00697,01981,02009"
2022-10-13,"00467,00517,00598,00697,01981,02009"
2022-10-14,"00467,00517,00598,00697,01981,02009"
2022-10-17,"00467,00517,00598,00697,01981,02009"
2022-10-18,"00467,00517,00598,00697,01981,02009"
2022-10-19,"00467,00517,00598,00697,01981,02009"
2022-10-20,"00467,00517,00598,00697,01981,02009"
2022-10-21,"00467,00468,00517,00598,00697,01981,02009,03618"
2022-10-24,"00468,00517,00598,00697,01981,03618"
2022-10-25,"00468,00517,00598,00697,01981,03618"
2022-10-26,"00468,00517,00598,00697,01981,03618"
2022-10-27,"00468,00517,00598,00697,01981,03618"
2022-10-28,"00468,00517,00598,00697,01981,03618"
2022-10-31,"00468,00517,00598,00697,01981,03618"
2022-11-01,"00468,00517,00598,00697,01981,03618"
2022-11-02,"00468,00517,00598,00697,01981,03618"
2022-11-03,"00468,00517,00598,00697,01981,03618"
2022-11-04,"00468,00517,00598,00697,01981,03618"
2022-11-07,"00468,00517,00598,00697,01981,03618"
2022-11-08,"00468,00517,00598,00697,01981,03618"
2022-11-09,"00468,00517,00598,00697,01981,03618"
2022-11-10,"00468,00517,00598,00697,01981,03618"
2022-11-11,"00468,00517,00598,00697,00732,01516,01981,03339,03618"
2022-11-14,"00468,00517,00598,00732,01516,01981,03339,06808"
2022-11-15,"00468,00517,00598,00732,01516,01981,03339,06808"
2022-11-16,"00468,00517,00598,00732,01516,01981,03339,06808"
2022-11-17,"00468,00517,00598,00732,01516,01981,03339,06808"
2022-11-18,"00468,00517,00598,00732,01516,03339,06808"
2022-11-21,"00468,00517,00598,00732,01516,03339,06808"
2022-11-22,"00468,00517,00598,00732,01516,03339,06808"
2022-11-23,"00468,00517,00598,00732,01516,03339,06808"
2022-11-24,"00468,00517,00598,00732,01516,03339,06808"
2022-11-25,"00468,00517,00598,00732,01516,03339,06808"
2022-11-28,"00468,00517,00598,00732,01516,03339,06808"
2022-11-29,"00517,00598,00732,01516,03339,06808"
